"","site","id","x","y"
"1","2A",1,-125.345830290869,-150.414996355772
"2","2A",2,-75.2074981430196,-150.414996366948
"3","2A",3,-25.0691660296288,-150.414996365085
"4","2A",4,25.0691660615848,-150.41499636136
"5","2A",5,75.2074982186314,-150.414996357635
"6","2A",6,125.345830299135,-150.414996359497
"7","2A",7,175.484162467474,-150.41499636136
"8","2A",8,-125.345830259903,-100.276664244011
"9","2A",9,-75.2074981707265,-100.276664242148
"10","2A",10,-25.0691660429584,-100.276664233766
"11","2A",11,25.0691660626908,-100.276664237492
"12","2A",12,75.2074982290505,-100.27666423656
"13","2A",13,125.345830323233,-100.276664233766
"14","2A",14,175.484162424982,-100.276664241217
"15","2A",15,-125.345830259554,-50.1383321229368
"16","2A",16,-75.207498163858,-50.1383321201429
"17","2A",17,-25.0691660332377,-50.1383321164176
"18","2A",18,25.0691660759621,-50.1383321182802
"19","2A",19,75.2074981696787,-50.1383321164176
"20","2A",20,125.345830335165,-50.1383321201429
"21","2A",21,175.484162436391,-50.1383321173489
"22","2A",22,-125.345830284467,8.38190317153931e-09
"23","2A",23,-75.2074981954065,8.38190317153931e-09
"24","2A",24,-25.0691660710727,7.45058059692383e-09
"25","2A",25,25.0691661014571,6.51925802230835e-09
"26","2A",26,75.2074981859769,6.51925802230835e-09
"27","2A",27,125.345830339182,8.38190317153931e-09
"28","2A",28,175.484162426146,2.79396772384644e-09
"29","2A",29,225.622494531854,1.21071934700012e-08
"30","2A",30,-125.345830260951,50.1383321341127
"31","2A",31,-75.2074981877231,50.1383321341127
"32","2A",32,-25.0691660099546,50.1383321257308
"33","2A",33,25.0691660693265,50.1383321285248
"34","2A",34,-175.48416242766,100.276664251462
"35","2A",35,-125.345830260718,100.276664246805
"36","2A",36,-225.622494531854,150.414996367879
"37","2B",1,225.953924559057,-100.4239664739
"38","2B",2,276.165907791641,-100.423966482282
"39","2B",3,-276.165907817718,-50.2119832402095
"40","2B",4,25.1059916095692,-50.2119832346216
"41","2B",5,75.317974839767,-50.2119832392782
"42","2B",6,125.529958073399,-50.2119832327589
"43","2B",7,175.741941322281,-50.2119832374156
"44","2B",8,225.953924596368,-50.2119832430035
"45","2B",9,276.165907834016,-50.2119832430035
"46","2B",10,-276.16590782674,5.58793544769287e-09
"47","2B",11,-225.953924594913,4.65661287307739e-09
"48","2B",12,-175.741941353946,4.65661287307739e-09
"49","2B",13,-125.529958092549,5.58793544769287e-09
"50","2B",14,-75.3179748746916,0
"51","2B",15,-25.1059916156228,7.45058059692383e-09
"52","2B",16,25.1059916237718,-2.79396772384644e-09
"53","2B",17,75.3179748539114,5.58793544769287e-09
"54","2B",18,125.529958084808,-2.79396772384644e-09
"55","2B",19,175.741941328568,-3.72529029846191e-09
"56","2B",20,-276.165907834016,50.2119832457975
"57","2B",21,-225.95392453071,50.2119832336903
"58","2B",22,-175.741941295681,50.2119832430035
"59","2B",23,-125.529958114959,50.2119832411408
"60","2B",24,-75.3179748312104,50.2119832457975
"61","2B",25,-25.1059915813967,50.2119832402095
"62","2B",26,25.1059916478698,50.2119832346216
"63","2B",27,75.317974864447,50.2119832420722
"64","2B",28,125.529958082479,50.2119832420722
"65","2B",29,-225.953924548172,100.423966483213
"66","2B",30,-175.741941327229,100.423966480419
"67","2B",31,-125.52995809057,100.42396648135
"68","2B",32,-75.3179748275434,100.423966475762
"69","2B",33,-25.105991597462,100.423966476694
"70","2B",34,25.1059916088125,100.423966477625
"71","2B",35,75.317974874808,100.423966472037
"72","2B",36,125.529958068801,100.423966479488
