AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2A-22-F1,79,1849,,79 / 1849,F,2A,,,,,,,,,,,,,,,,,,,,
2A-22-F2,81,,,81,F,2A,,,,,,,,,,,,,,,,,,,,
2A-22-F3,1856,,,1856,F,2A,,,2A,,,,,,,,,,,,,,,,,
2A-22-F4,1857,,,1857,F,2A,,2A,,,,,,,,,,,,,,,,,,
2A-22-F5,1877,,,1877,F,2A,,2A,,,,,,,,,,,,,,,,,,
2A-22-F6,1863,,,1863,F,2A,,,2A,2A,,,,,,,,,,,,,,,,
2A-22-F7,1864,,,1864,F,2A,,,,,,,,,,,,,,,,,,,,
2A-22-F8,1838,,,1838,F,2A,,,,,,,,,,,,,,,,,,,,
2A-22-F9,1887,,,1887,F,2A,,,,,,,,,,,,,,,,,,,,
2A-22-F10,84,,,84,F,2A,,2A,,,,,,,,,,,,,,,,,,
2A-22-F11,942,,,,F,,,2A,,,,,,,,,,,,,,,,,,
2A-22-M1,76,77,,76 / 77,M,2A,,,,,,,,Originally assigned a juvenile,,,,,,,,,,,,
2A-22-M2,1827,,,1827,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M3,80,,,80,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M4,82,,,82,M,2A,,2A,,,,,,,,,,,,,,,,,,
2A-22-M5,83,,,83,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M7,2A-22-M7,,,2A-22-M7,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M8,88,,,88,M,2A,,,2A,,,,,,,,,,,,,,,,,
2A-22-M9,1826,,,1826,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M10,1876,,,1876,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M11,89,,,89,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M12,1858,,,1858,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M13,1862,,,1862,M,2A,,,2A,,,,,,,,,,,,,,,,,
2A-22-M14,1882,,,1882,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M15,1883,1705,,1883 / 1705,M,2A,,,2A,2A,,,,,,,,,,,,,,,,
2A-22-M16,1833,,,1833,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M17,1834,,,1834,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M18,1835,,,1835,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M19,1836,,,1836,M,2A,,,,,,,,,,,,,,,,,,,,
2A-22-M20,952,544,,952 / 544,M,,,2A,2A,2A,,,,,,,,,,,,,,,,
2A-22-M21,941,,,941,M,,,2A,2B,,,,,,,,,,,,,,,,,
2A-22-M22,943,,,,M,,,2A,,,,,,,,,,,,,,,,,,
2A-22-M23,953,,,953,M,,,2A,2A,,,,,,,,,,,,,,,,,
2A-23-F1,451,,,451,F,,,,2A,,,,,,,,,,,,,,,,,
2A-23-F2,452,,,452,F,,,,2A,,,,,,,,,,,,,,,,,
2A-23-F3,479,,,479,F,,,,2A,,,,,,,,,,,,,,,,,
2A-23-F4,454,,,454,F,,,,2A,2A,,,,,,,,,,,,,,,,
2A-23-F5,480,,,480,F,,,,2A,,,,,,,,,,,,,,,,,
2A-23-F6,485,,,485,F,,,,2A,,,,,,,,,,,,,,,,,
2A-23-F7,462,,,462,F,,,,2A,,,,,,,,,,,,,,,,,
